english,malayalam
"During 2008-09, NREGA provided employment opportunities for more than 4.47 crore households, as against 3.39 crore households covered in 2007-08.",2007-08 കാലയളവിലെ 3.39 കോടി കുടുംബങ്ങളിൽനിന്ന് ഭിന്നമായി 2008-09 കാലയളവിൽ എൻ. ആർ. ഇ. ജി. എ 4.47 കോടിയിലേറെ കുടുംബങ്ങൾക്ക് തൊഴിലവസരങ്ങൾ നൽകി.
"However, such periodic sequences are repelling rather than attracting, meaning that if the evolving variable is outside the sequence, however close, it will not enter the sequence and, in fact, will diverge from it.","എന്നാൽ, അത്തരം അനുക്രമമായ പിന്തുടർച്ചകൾ ആകർഷിക്കുന്നതിന് പകരം ഏതാണ്ട് വികർഷിക്കുകയാണ് ചെയ്യുന്നതെന്നത്, ഇവോൾവിങ്ങ് വേരിയബിൾ എത്ര അടുത്തായാലും പിന്തുടർച്ചയ്ക്ക് പുറത്താണെങ്കിൽ ആ പിന്തുടർച്ചയിൽ പ്രവേശിക്കുകയില്ലെന്നും മറിച്ച് അതിൽനിന്ന് അകന്നുപോവുകയാണ് ചെയ്യുകയെന്നും അർത്ഥമാക്കുന്നു."
"Bank credit grew at an accelerated pace of 16.2 percent y-o-y as on September 9, 2022, as against 6.7 percent a year ago.","ഒരു വർഷം മുമ്പത്തെ 6.7 ശതമാനത്തിനെതിരെ, വർഷങ്ങൾ തമ്മിൽ താരതമ്യം ചെയ്യുമ്പോൾ, 2022 സെപ്തംബർ 9 തിലെ കണക്കനുസരിച്ച് 16.2 ശതമാനത്തിലേക്ക് അധികവേഗതയിൽ ബാങ്ക് ക്രെഡിറ്റ് വളർന്നു."
"In addition, reliable and timely estimates and seasonal crop acreage and production estimates are important for the formulation of marketing strategies such as export/import, price fixation, and public distribution.","അതിനുപുറമെ, വിശ്വസ്തവും കാലികവുമായ എസ്റ്റിമേറ്റുകൾ, സീസണുകളനുസരിച്ചുള്ള കൃഷിഭൂമിവിസ്തീർണ്ണത്തിൻ്റെയും ഉത്പാദനത്തിൻ്റെയും എസ്റ്റിമേറ്റുകൾ എന്നിവ കയറ്റുമതി/ഇറക്കുമതി, വിലനിർണ്ണയം, പൊതുവിതരണം തുടങ്ങിയവയുടെ വിപണനതന്ത്രങ്ങൾ രൂപീകരിക്കുന്നതിൽ പ്രധാനമാണ്."
"On the interpretation of clause 6.4.6, learned counsel submitted that the said clause carries a heavy penalty; that the said clause is attracted in cases of tampering or wrong routing of calls attributable to some fault on the part of the operator and not otherwise; and since in the present case the actions complained are attributable to an unscrupulous subscriber and not to Reliance, clause 6.4.6 cannot be invoked.","6.4.6 എന്ന വകുപ്പിനെ വ്യാഖ്യാനിക്കുമ്പോൾ, ആ വകുപ്പനുസരിച്ച് വലിയൊരു പിഴ ചുമത്താമെന്നും, ആ വകുപ്പ് ഓപ്പറേറ്ററുടെ ഭാഗത്തുനിന്നുള്ള ഏതോ പിഴവുകൊണ്ടുള്ള കേടുപാടുകളോ കോളുകളുടെ തെറ്റായ റൂട്ടിങ്ങോ ഉണ്ടായാല്‍ മാത്രമേ സംഗതമാകൂ എന്നും, ഈ കേസില്‍ പരാതിക്ക് കാരണമായ പ്രവൃത്തികള്‍ നീതിബോധമില്ലാത്ത ഉപഭോക്താവിന്‍റെ ഭാഗത്തുനിന്നാണെന്നും റിലയന്‍സിൽനിന്നല്ലെന്നും അതിനാൽ 6.4.6 എന്ന വകുപ്പ് ബാധകമാക്കാനാവില്ലെന്നും പണ്ഡിതനായ അഭിഭാഷകന്‍ ബോധിപ്പിച്ചു."
"In this vow, the householder must not have a sensual relationship with anybody but his own lawfully wedded spouse.",ഈ പ്രതിജ്ഞയനുസരിച്ച് വീട്ടുകാരന് നിയമാനുസൃതമായി കല്ല്യാണം കഴിച്ച തൻ്റെ സ്വന്തം ജീവിതപങ്കാളിയുടെ കൂടെയല്ലാതെ മറ്റാരുമായും ശാരീരികമായ ബന്ധം ഉണ്ടാകാൻ പാടില്ല.
"During the Tokyo Olympic cycle, I would go to a psychologist, but I never made it a priority and didn't look after my body.",ടോക്കിയോ ഒളിമ്പിക് മത്സരചക്രത്തിനിടയില്‍ ഞാനൊരു മനശ്ശാസ്ത്രവിദഗ്ദ്ധനെ കാണാന്‍ പോയെങ്കിലും ഞാനതിനു വേണ്ടത്ര പ്രാമുഖ്യം നല്കിയില്ലെന്നു മാത്രമല്ല ശരീരത്തെ പരിരക്ഷിച്ചുമില്ല.
"In the first long-distance audio transmissions by Reginald Fessenden in 1906, a continuous wave from an Alexanderson alternator was fed directly to the transmitting antenna through a water-cooled carbon microphone.",1906ൽ റെജിനാൾഡ് ഫെസ്സെൻഡൻ നടത്തിയ ആദ്യത്തെ ദീർഘദൂരശബ്ദസംപ്രേക്ഷണങ്ങളിൽ അലക്സാണ്ടേഴ്സൺ ആൾട്ടർനേറ്ററിൽനിന്നുള്ള ഒരു തുടർച്ചയായ തരംഗം വെള്ളംകൊണ്ട് താപം നിയന്ത്രിക്കപ്പെട്ട ഒരു കാർബൺ മൈക്രോഫോണിലൂടെ സംപ്രേക്ഷണ ആൻ്റിനയിലേക്ക് നേരിട്ട് നൽകപ്പെട്ടിരുന്നു.
"In 2017, Russian President Vladimir Putin acknowledged the ""horrors of Stalinism,"" but he also criticised the ""excessive demonization of Stalin"" by ""Russia's enemies.""","2017ൽ റഷ്യൻ രാഷ്ട്രപതി വ്ലാദിമിർ പുടിൻ ""സ്റ്റാലിനിസത്തിൻ്റെ ഭീകരതകൾ"" അംഗീകരിച്ചുവെങ്കിലും ""റഷ്യയുടെ ശത്രുക്കൾ"" ""സ്റ്റാലിനെ അമിതമായി പൈശാചികവൽക്കരിക്കുന്നതിനെ"" വിമർശിക്കുകയും ചെയ്തു."
"In Canada, after 6.6 million doses of vaccine had been distributed between 21 October and 7 November, there were reports of mild adverse events in 598 people vaccinated including nausea, dizziness, headache, fever, vomiting, and swelling or soreness at the injection site.","ഒക്ടോബർ 21 നും നവംബർ 7 നും ഇടയില്‍ കാനഡയില്‍ 6.6 ദശലക്ഷം ഡോസ് പ്രതിരോധ കുത്തിവെയ്പ്പുകള്‍ നല്‍കിയതില്‍ 598 പേരില്‍ മനംപിരട്ടൽ , തലകറക്കം, തലവേദന, പനി, ഛർദി, കുത്തിവെച്ചേടത്ത് തടിപ്പോ വേദനയോ തുടങ്ങിയ മിതമായ വിപരീതസംഭവങ്ങള്‍ റിപ്പോര്‍ട്ട് ചെയ്യപ്പെട്ടു."
"In 2008, a Delhi court ordered a 19-year-old caught making lewd remarks to passing females to distribute 500 handbills to youngsters outside schools and colleges detailing the consequences of indecent conduct.","വഴിപോകുന്ന സ്ത്രീകളോട് ലൈംഗികച്ചുവയുള്ള പരാമർശങ്ങൾ നടത്തി പിടിയിലായ ഒരു 19കാരനോട്, അന്തസ്സില്ലാത്ത പെരുമാറ്റത്തിൻ്റെ അനന്തരഫലങ്ങൾ വിശദീകരിക്കുന്ന 500 ലഘുലേഖകൾ സ്‌കൂളുകളുടെയും കോളേജുകളുടെയും പുറത്തുള്ള യുവജനങ്ങൾക്ക് വിതരണം ചെയ്യാൻ ഒരു ഡൽഹി കോടതി 2008ൽ ഉത്തരവിട്ടു."
