english,malayalam
"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","ബാഹ്യരൂപം എന്നുള്ളത് ഷൂസ്, വസ്ത്രങ്ങള്‍, ടൈ, ആഭരണങ്ങള്‍, ഹെയര്‍ സ്റ്റൈല്‍, മേക്കപ്പ്, വാച്ച്, സൗന്ദര്യവര്‍ദ്ധകസാമഗ്രികൾ, സുഗന്ധലേപനങ്ങള്‍ തുടങ്ങി സേവനം നല്കുന്നയാളിന്‍റെ ഒരുകൂട്ടം ഗുണവിശേഷങ്ങളുമായി ബന്ധപ്പെട്ടതാണ്."
"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","മഹാരാഷ്ട്രയിലെ ഔറംഗാബാദ് ജില്ലയിൽ സ്ഥിതിചെയ്യുന്ന അജന്തയിൽ ബി. സി. ഇ ഒന്നാം നൂറ്റാണ്ട് മുതൽ സി. ഇ അഞ്ചാം നൂറ്റാണ്ട് വരെയുള്ള കാലഘട്ടത്തിലെ, പ്രതിമകളാലും ചിത്രങ്ങളാലും അലങ്കരിക്കപ്പെട്ട 29 ചൈത്യഗുഹകളും വിഹാരഗുഹകളും ഉണ്ട്."
"Body colour gets merged with the outer line, creating the effect of volume.",ശില്പങ്ങളുടെയും മറ്റും നിറം ബാഹ്യരേഖയുമായി ഇഴുകിച്ചേര്‍ന്ന് വലിപ്പത്തിന്‍റെ ഒരു പ്രതീതിയുണ്ടാക്കുന്നു.
"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","നേരത്തെയുള്ള പാരമ്പര്യം തടിയിലും കളിമണ്ണിലും നിർമ്മിക്കുന്നതായിരിക്കെ, അശോകന്‍ പ്രതിമകള്‍ക്കും സ്മാരകസൗധങ്ങള്‍ക്കും വ്യാപകമായി ശില ഉപയോഗിക്കാന്‍ തുടങ്ങി."
"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.",മസാല ചേര്‍ത്ത് കടലമാവില്‍ മുക്കി പിഴവില്ലാത്തവിധം നന്നായി വറുത്തെടുക്കുന്ന ഉരുളക്കിഴങ്ങാണ് മഹാരാഷ്ട്രയില്‍ നിന്നുള്ള ഈ സ്വാദിഷ്ടവും പ്രശസ്തവുമായ വിഭവം.
"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","തമിഴ്‌നാട് സംസ്ഥാനത്തെ ചെട്ടിനാട് പ്രദേശത്തുനിന്നുള്ള, നാട്ടുകോട്ടൈ ചെട്ടിയാർ എന്നോ അവർ സ്വയം വിളിക്കുന്ന പേരായ നാഗരതർ എന്നോ അറിയപ്പെടുന്ന സമുദായത്തിൻ്റെ പാചകവിദ്യയാണ് ചെട്ടിനാട് പാചകവിദ്യ."
"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","ഇന്ത്യയില്‍ ജന്മംകൊണ്ട കറുവാപ്പട്ട അങ്ങനെ, സുഗന്ധവ്യഞ്ജനത്തിൻ്റേതുമുതൽ ഔഷധത്തിൻ്റേതുവരെ വിവിധ ഉപയോഗങ്ങള്‍ ഉള്ളതാണ്."
Make this into powder with a dry grinder or in a stone pestle.,നനവില്ലാത്ത ഗ്രൈന്‍ഡറിലോ കല്ലുരലിലോ ഇത് പൊടിച്ചെടുക്കുക.
"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.",അമൃത്‌സറിലെ ജനങ്ങള്‍ വിശേഷിച്ചും അമൃത്‌സാരി കുല്‍ചെയും ഉള്ളിൽ നിറച്ച പറാന്തയും പാലുല്‍പ്പന്നങ്ങളും ഇഷ്ടപ്പെടുന്നതുപോലെ പഞ്ചാബിലെ ഓരോ നഗരത്തിനും വ്യത്യസ്തരുചികളുണ്ട്.
"Send Rama with the sage, and send Lakshmana too.",മഹര്‍ഷിയുടെ കൂടെ രാമനെയും ഒപ്പം ലക്ഷ്മണനെയും അയക്കൂ.
But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,ഉന്നതവും ഉദാത്തവുമായ ഒരാദര്‍ശത്തോടുള്ള സമര്‍പ്പണത്തിലൂടെയാണ് മംഗള്‍ പാണ്ഡേയുടെ ധീരകൃത്യം നിറവേറ്റപ്പെട്ടത്.
