eng,mal,Target,Source_Prosody_word
"The 2015 Commonwealth Karate Games were held in Delhi, India.",2015 ലെ കോമൺവെൽത്ത് കരാട്ടെ ഗെയിംസ് ഇന്ത്യയിലെ ഡൽഹിയിൽ നടത്തി..,2015 ലെ കോമൺവെൽത്ത് കരാട്ടെ ഗെയിംസ് ഇന്ത്യയിലെ ഡൽഹിയിലാണ് നടത്തിയത്,Delhi
"The 2015 Commonwealth Karate Games were held in Delhi, India.",2015 ലെ കോമൺവെൽത്ത് കരാട്ടെ ഗെയിംസ് ഇന്ത്യയിലെ ഡൽഹിയിൽ നടത്തി.,2015 ലെ കോമൺവെൽത്ത് കരാട്ടെ ഗെയിംസാണ് ഇന്ത്യയിലെ ഡൽഹിയിൽ നടത്തിയത്., Karate Games 
"The 2015 Commonwealth Karate Games were held in Delhi, India.",2015 ലെ കോമൺവെൽത്ത് കരാട്ടെ ഗെയിംസ് ഇന്ത്യയിലെ ഡൽഹിയിൽ നടത്തി.,2015 ലാണ് കോമൺവെൽത്ത് കരാട്ടെ ഗെയിംസ് ഇന്ത്യയിലെ ഡൽഹിയിൽ നടത്തിയത്.,The 2015
Other Indian cuisines are also available in this area even though the street specialises in north Indian food.,ഈ പ്രദേശത്ത് മറ്റ് ഇന്ത്യൻ പാചകരീതികളും ലഭ്യമാണെങ്കിലും തെരുവുകളിൽ പ്രധാനമായും ഉത്തരേന്ത്യൻ ഭക്ഷണം കിട്ടുന്നു.,ഈ പ്രദേശത്ത് മറ്റ് ഇന്ത്യൻ പാചകരീതികളും ലഭ്യമാണെങ്കിലും തെരുവുകളിൽ പ്രധാനമായും ഉത്തരേന്ത്യൻ ഭക്ഷണമാണ് കിട്ടുന്നത്.,north Indian food.
"The Grand Canyon is in northern Arizona, and is one of the great tourist attractions in the United States as well as one of the seven natural wonders of the world.",അമേരിക്കൻ ഐക്യനാടുകളിലെ ഏറ്റവും പ്രധാനപ്പെട്ട വിനോദസഞ്ചാര ആകർഷണങ്ങളിലൊന്നും ലോകത്തിലെ ഏഴ് പ്രകൃതിവിസ്മയങ്ങളിലൊന്നുമായ ഗ്രാൻഡ് കാൻയോൺ വടക്കൻ അരിസോണയിൽ സ്ഥിതിചെയ്യുന്നു.,അമേരിക്കൻ ഐക്യനാടുകളിലെ ഏറ്റവും പ്രധാനപ്പെട്ട വിനോദസഞ്ചാര ആകർഷണങ്ങളിലൊന്നും ലോകത്തിലെ ഏഴ് പ്രകൃതിവിസ്മയങ്ങളിലൊന്നുമായ ഗ്രാൻഡ് കാൻയോൺ വടക്കൻ അരിസോണയിലാണ് സ്ഥിതിചെയ്യുന്നത്.,Northern Arizona
"The Grand Canyon is in northern Arizona, and is one of the great tourist attractions in the United States as well as one of the seven natural wonders of the world.",അമേരിക്കൻ ഐക്യനാടുകളിലെ ഏറ്റവും പ്രധാനപ്പെട്ട വിനോദസഞ്ചാര ആകർഷണങ്ങളിലൊന്നും ലോകത്തിലെ ഏഴ് പ്രകൃതിവിസ്മയങ്ങളിലൊന്നുമായ ഗ്രാൻഡ് കാൻയോൺ വടക്കൻ അരിസോണയിൽ സ്ഥിതിചെയ്യുന്നു.,അമേരിക്കൻ ഐക്യനാടുകളിലെ ഏറ്റവും പ്രധാനപ്പെട്ട വിനോദസഞ്ചാര ആകർഷണങ്ങളിലൊന്നും ലോകത്തിലെ ഏഴ് പ്രകൃതിവിസ്മയങ്ങളിലൊന്നുമായ ഗ്രാൻഡ് കാൻയോണാണ് വടക്കൻ അരിസോണയിൽ സ്ഥിതിചെയ്യുന്നത്.,Grand Canyon
"Anju is married to Robert Bobby George, who is a former national champion in the triple jump and her coach too",ട്രിപ്പിൾ ജമ്പിൽ മുൻ ദേശീയ ചാമ്പ്യനും തന്റെ കോച്ചുകൂടിയുമായ റോബർട്ട് ബോബി ജോർജ്ജിനെ അഞ്ജു വിവാഹം കഴിച്ചു.,ട്രിപ്പിൾ ജമ്പിൽ‍ മുന്‍ ദേശീയ ചാമ്പ്യനും തന്‍റെ കോച്ചുകൂടിയുമായ റോബർട്ട് ബോബി ജോർജ്ജിനെയാണ് അഞ്ജു വിവാഹം കഴിച്ചത്.,Robert Bobby George
"Anju is married to Robert Bobby George, who is a former national champion in the triple jump and her coach too",ട്രിപ്പിൾ ജമ്പിൽ മുൻ ദേശീയ ചാമ്പ്യനും തന്റെ കോച്ചുകൂടിയുമായ റോബർട്ട് ബോബി ജോർജ്ജിനെ അഞ്ജു വിവാഹം കഴിച്ചു.,ട്രിപ്പിള്‍ ജമ്പിൽ‍ മുന്‍ ദേശീയ ചാമ്പ്യനും തന്‍റെ കോച്ചുകൂടിയുമായ റോബർട്ട് ബോബി ജോർജ്ജിനെ അഞ്ജുവാണ് വിവാഹം കഴിച്ചത്. ,Anju
"He described his mother, raised by non-religious parents, as the most spiritually awakened person I have ever known.","മതവിശ്വാസമില്ലാത്തവരായ മാതാപിതാക്കളാൽ വളർത്തപ്പെട്ട തന്റെ മാതാവിനെ, എനിക്ക് എക്കാലവും അറിയാൻ ഇടവന്ന ഏറ്റവും ആത്മീയമായി ഉദ്ബുദ്ധയായ വ്യക്തിയായി അദ്ദേഹം വിശേഷിപ്പിച്ചു.","മതവിശ്വാസമില്ലാത്തവരായ മാതാപിതാക്കളാൽ വളർത്തപ്പെട്ട തന്റെ മാതാവിനെ, എനിക്ക് എക്കാലവും അറിയാൻ ഇടവന്ന ഏറ്റവും ആത്മീയമായി ഉദ്ബുദ്ധയായ  വ്യക്തിയായിയാണ്  അദ്ദേഹം വിശേഷിപ്പിച്ചത്.",spiritually awakened person
"He described his mother, raised by non-religious parents, as the most spiritually awakened person I have ever known.","മതവിശ്വാസമില്ലാത്തവരായ മാതാപിതാക്കളാൽ വളർത്തപ്പെട്ട തന്റെ മാതാവിനെ, എനിക്ക് എക്കാലവും അറിയാൻ ഇടവന്ന ഏറ്റവും ആത്മീയമായി ഉദ്ബുദ്ധയായ വ്യക്തിയായി അദ്ദേഹം വിശേഷിപ്പിച്ചു.","മതവിശ്വാസമില്ലാത്തവരായ മാതാപിതാക്കളാൽ വളർത്തപ്പെട്ട തന്റെ മാതാവിനെയാണ്, എനിക്ക് എക്കാലവും അറിയാൻ ഇടവന്ന ഏറ്റവും ആത്മീയമായി ഉദ്ബുദ്ധയായ വ്യക്തിയായി അദ്ദേഹം വിശേഷിപ്പിച്ചത്.",his mother
