english,malayalam
The woman is drinking water.,സ്ത്രീ വെള്ളം കുടിക്കുന്നു.
THE WOMAN is drinking water.,സ്ത്രീയാണ് വെള്ളം കുടിക്കുന്നത്.
The woman is DRINKING water.,സ്ത്രീ വെള്ളം കുടിക്കുകയാണ്.
The woman is drinking WATER.,സ്ത്രീ കുടിക്കുന്നത് വെള്ളമാണ്.
The woman is drinking WATER (not milk).,സ്ത്രീ വെള്ളമാണ് കുടിക്കുന്നത്.
I came yesterday.,ഞാൻ ഇന്നലെ വന്നു.
I came YESTERDAY.,ഇന്നലെ ഞാൻ വന്നു.
I went to Cochin yesterday.,ഞാൻ ഇന്നലെ കൊച്ചിക്ക് പോയി.
I went to COCHIN yesterday.,കൊച്ചിക്കാണ് ഞാൻ ഇന്നലെ പോയത്.
The cow ate all the grass.,പശു പുല്ല് മുഴുവൻ തിന്നു.
The cow ate ALL THE GRASS.,പുല്ല് മുഴുവനാണ് പശു തിന്നത്.
The cow began to eat grass.,പശു പുല്ല് തിന്നാൻ തുടങ്ങി.
Didn't the cow begin to EAT grass?,തിന്ന് തുടങ്ങിയല്ലോ പശു പുല്ല്.
Raman gave me two books yesterday.,രാമൻ ഇന്നലെ എനിക്ക് രണ്ടു പുസ്തകം തന്നു.
Raman gave me two books YESTERDAY.,ഇന്നലെയാണ് രാമൻ എനിക്ക് രണ്ടു പുസ്തകം തന്നത്.
I gave ONE orange to Mohanan.,ഞാൻ ഒരു നാരങ്ങ മോഹനന് കൊടുത്തു.
The airport in India is open.,ഇന്ത്യയിലെ വിമാനത്താവളം തുറന്നിരിക്കുന്നു.
The AIRPORT in India is open.,ഇന്ത്യയിലെ വിമാനത്താവളം തുറന്നിരിക്കുന്നു.
The airport in INDIA is open.,ഇന്ത്യയിലെ വിമാനത്താവളം തുറന്നിരിക്കുന്നു.
He is Raman.,അവൻ രാമൻ ആണ്.
HE is Raman.,അവനാണ് രാമൻ.
He is RAMAN.,രാമൻ ആണ് അവൻ.
The mouse sent a book to the cat.,എലി പൂച്ചയ്ക്ക് പുസ്തകം അയച്ചു.
THE MOUSE sent a book to the cat.,എലിയാണ് പൂച്ചയ്ക്ക് പുസ്തകം അയച്ചത്.
The mouse sent a book to THE CAT.,എലി പൂച്ചയ്ക്കാണ് പുസ്തകം അയച്ചത്.
The mouse sent THE BOOK to the cat.,എലി പൂച്ചയ്ക്ക് പുസ്തകമാണ് അയച്ചത്.
Only Raman came.,രാമൻ മാത്രമേ വന്നുള്ളൂ.
Raman ate only the rice.,രാമൻ ചോറ് മാത്രമേ കഴിച്ചുള്ളൂ.
It wasn't Raman who came.,വന്നത് രാമൻ അല്ല.
"The cat didn't send the book, the mouse did.","പുസ്തകം അയച്ചത് പൂച്ചയല്ല, എലിയാണ്."
"As for Raman, he came yesterday (I don't know about the others).",രാമൻ ആണെങ്കിൽ ഇന്നലെ വന്നു.
Who sent the book to the cat? — THE MOUSE sent it.,ആരാണ് പൂച്ചയ്ക്ക് പുസ്തകം അയച്ചത്? — എലിയാണ് അയച്ചത്.
I saw you fighting yesterday.,ഞാൻ ഇന്നലെ നീ വഴക്കിടുന്നത് കണ്ടു.
I saw YOU fighting yesterday.,നിന്നെയാണ് ഞാൻ ഇന്നലെ വഴക്കിടുന്നത് കണ്ടത്.
I saw you fighting YESTERDAY.,ഇന്നലെയാണ് ഞാൻ നിന്നെ വഴക്കിടുന്നത് കണ്ടത്.
You came?,നീ വന്നോ?
YOU came?,നീയാണോ വന്നത്?
"Hey, play cards.","എടാ, ചീട്ട് കളിക്ക്."
"Hey, play CARDS.","എടാ, ചീട്ട് തന്നെ കളിക്ക്."
You ate chapathi.,നീ ചപ്പാത്തി കഴിച്ചു.
YOU ate chapathi.,നീയാണ് ചപ്പാത്തി കഴിച്ചത്.
You ate CHAPATHI.,നീ ചപ്പാത്തിയാണ് കഴിച്ചത്.
