english,malayalam
"Two functions f : A → B and g : A → B are defined to be equal, written f = g, if f (a) = g(a) for every a∈ A; that is, if they have the same graph.Accordingly, we do not distinguish between a function and its graph.Now, such a graph relation has the property that each a in A belongs to a unique ordered pair (a, b) in the relation.On the other hand, any relation f from A to B that has this property gives rise to a function f : A → B, where f (a) = b for each (a, b) in f. Consequently, one may equivalently define a function as follows:","f : grape ഉം g യും നിർവചിച്ചിരിക്കുന്നു : ph ഉം തുല്യമാണ് , f = g , ( a ) = a ( a ) = a ( a ) = a ) എല്ലാ പദങ്ങൾക്കും തുല്യമാണെങ്കിൽ.അതിനാൽ , ഒരു ഫങ്ഷനും അതിന്റെ ഗ്രാഫും തമ്മിൽ നമ്മൾ വേർതിരിക്കുന്നില്ല.ഇപ്പോൾ , അത്തരമൊരു ഗ്രാഫ് ബന്ധത്തിൽ ഒരു പ്രത്യേക ഓർഡർ ജോഡിയുടെ ( എ , ബി ) സ്വത്തുക്കൾ ഉണ്ട്.മറുവശത്ത് , ഈ വസ്തുവുമായി ബന്ധപ്പെടുന്ന എഫ് ."
"A function f : A → B is said to be an onto function if each element of B is the image of some element of A.In other words, f : A → B is onto if the image of f is the entire codomain, i.e., if f (A) = B.In such a case we say that f is a function from A onto B or that f maps A onto B.","ഒരു ഫങ്ഷൻ f : b യുടെ ഓരോ മൂലകവും a യുടെ ചില ഘടകങ്ങളുടെ പ്രതിച്ഛായയാണെങ്കിൽ ഒരു ഫങ്ഷൻ ആണ്.മറ്റൊരു വിധത്തിൽ പറഞ്ഞാൽ , f : f ന്റെ ചിത്രം മുഴുവൻ കോഡമൈൻ ആണെങ്കിൽ , അതായത് f ( a ) = b ആണെങ്കിൽ.അത്തരമൊരു സാഹചര്യത്തിൽ എഫ് എന്നത് b യിൽ നിന്നോ b യിലേക്കോ ഉള്ള ഒരു ഫങ്ഷനാണെന്ന് നമ്മൾ പറയുന്നു ."
◦ Some polyatomic anions can be named as:,ചില പോളിടോമിക്‌
Amide,അമീഡ്
f o g: the function that assigns f(g(x)) to x,fo g : x ലേക്ക് f (x) എന്ന ഫങ്ഷന്‍
"Show that if x is a real number, then , if x is not an integer and , if x is an integer.","x ഒരു യഥാർത്ഥ സംഖ്യയാണെങ്കിൽ , x ഒരു പൂർണ്ണസംഖ്യയല്ലെങ്കിൽ , x ഒരു പൂർണ്ണസംഖ്യയാണെങ്കിൽ , കാണിക്കുക ."
"codomain of f: the set B, where f is a function from A to B","f - ന്റെ കോഡൊമെയിൻ : സെറ്റ് ബി , എവിടെയാണ് f പ്രവർത്തിക്കുന്നത്"
3 (C),3 (സി)
2 (A),2 ( എ )
Polyatomic Anion,പോളിഅറ്റമിക് ആനയോൺ
"If k is negative, divide |k| by M to obtain a remainder r';","k നെഗറ്റീവ് ആണെങ്കിൽ, വിഭജിക്കുക| k| ബാക്കി r ."
"Some texts use the terms injective for a one-to-one function, surjective for an onto function, and bijective for a one-to-one correspondence.","ചില ടെക്സ്റ്റുകൾ ഒരു വൺടോൺ ഫംഗ്ഷനുവേണ്ടി ഇൻജെക്റ്റീവ്, ഫംഗ്ഷന് ശസ്ത്രക്രിയ, ഒരു വൺടോൺ കറസ്പോണ്ടൻസ് എന്നിവയ്ക്കായി ബിജുവിൽ പദങ്ങൾ ഉപയോഗിക്കുന്നു ."
Aluminium hydroxide formula,അലൂമിനിയം ഹൈഡ്രോക്സൈഡ് ഫോർമുല
"Furthermore, for any base b, we have and; hence","കൂടാതെ , ഏത് ബേസ് ബിക്കും നമുക്കുണ്ട് , അതിനാൽ"
2 (A),2 (എ)
"codomain of f: the set B, where f is a function from A to B","f-ന്റെ കോഡൊമെയിൻ : സെറ്റ് ബി, എവിടെയാണ് f പ്രവർത്തിക്കുന്നത്"
"Let x be any real number.The integer value of x, written INT(x), converts x into an integer by deleting (truncating) the fractional part of the number.Thus","x ഒരു യഥാര്‍ത്ഥ നമ്പര്‍ ആകട്ടെ.xന്റെ ഇന്റിജർ മൂല്യം എഴുതപ്പെട്ട int (x), x (truncating) എന്ന സംഖ്യയുടെ ഭാഗം നീക്കം ചെയ്യുന്നതിലൂടെ x ഒരു പൂർണ്ണസംഖ്യയായി മാറ്റുന്നു ."
"(d) Suppose S is a subset of A.The inclusion map or embedding of S into A, denoted by",( ഡി ) a യുടെ ഒരു ഉപവിഭാഗമാണെന്നിരിക്കട്ടെ .
Module - 1,മൊഡ്യൂള്‍ 1
