english,malayalam
After giving an informed consent you will have to assist in checking blood pressure monitoring 4/5 times before and after anesthesia Are there any benefits for me/public?,"ഇൻഫോമ്ഡ് കൺസെന്‍റ് നൽകിയ ശേഷം, അനസ്തേഷ്യയ്ക്ക് മുമ്പും ശേഷവും 4/5 തവണ ബ്ലഡ് പ്രഷർ പരിശോധിക്കാൻ നിങ്ങൾ സഹായിക്കേണ്ടി വരും. എനിക്ക്/പൊതുജനങ്ങൾക്ക് എന്തെങ്കിലും ആനുകൂല്യങ്ങൾ ഉണ്ടോ?"
"After being informed about both the procedure and its pros and cons, participation in the study is purely voluntary, and you can withdraw anytime should you wish to do so. If you do so, this will not affect your usual treatment at this hospital in any way.","നടപടിക്രമത്തെക്കുറിച്ചും അതിന്റെ ഗുണദോഷങ്ങളെക്കുറിച്ചും അറിയിച്ച ശേഷം, പഠനത്തിൽ പങ്കെടുകാണാമോ വേണ്ടയോ എന്നുള്ളത് നിങ്ങൾക്ക് തീരുമാനിക്കാം. നിങ്ങൾക്ക് എപ്പോൾ വേണമെങ്കിലും ഒഴിവാകാം. നിങ്ങൾ അങ്ങനെ ചെയ്താൽ, ഈ ആശുപത്രിയിൽ നിങ്ങളുടെ സാധാരണ ചികിത്സയെ ഇത് ഒരു തരത്തിലും ബാധിക്കില്ല."
"But I don’t stay with people for long, and almost everyone gets better.","പക്ഷെ ഞാൻ ആളുകളുമൊത്ത് കൂടുതൽ നേരം നിൽക്കില്ല, മിക്കവാറും എല്ലാവരും സുഖപ്പെടും ."
"No. Cells harvest surgery, bone surgery, and hospital stay will be free for you. You will also not be charged for cell culture and laboratory procedures related to it. The follow-up investigations will also be done at free of cost. But, you will have to pay for any additional surgery that your disease requires to correct the deformity or lengthening of bone.","ഇല്ല. കോശങ്ങളുടെ വിളവെടുപ്പ് ശസ്ത്രക്രിയ, അസ്ഥി ശസ്ത്രക്രിയ, ആശുപത്രി താമസം എന്നിവ നിങ്ങൾക്ക് സൌജന്യമായിരിക്കും. സെൽ കൾച്ചറിനും അതുമായി ബന്ധപ്പെട്ട ലബോറട്ടറി നടപടിക്രമങ്ങൾക്കും നിങ്ങളിൽ നിന്ന് നിരക്ക് ഈടാക്കില്ല. തുടർന്നുള്ള അന്വേഷണങ്ങളും സൌജന്യമായി നടത്തും. പക്ഷേ, നിങ്ങളുടെ രോഗത്തിന് അനുസരിച്ച് അസ്ഥിയുടെ വൈകല്യം പരിഹരിക്കുന്നതിനോ നീളം കൂട്ടുന്നതിനോ ആവശ്യമായ അധിക ശസ്ത്രക്രിയയ്ക്ക് നിങ്ങൾ പണം നൽകേണ്ടിവരും."
"We searched for studies that investigated DPP4i, GLP‐1RA and SGLT2i medicines compared with each other or with placebo (a medicine that looks like the real medicine but that has no active ingredient).","DPP4i, GLP‐1RA, SGLT2i എന്നീ മരുന്നുകളെ പരസ്പരം താരതമ്യപ്പെടുത്തി അല്ലെങ്കിൽ പ്ലേസിബോയുമായി (യഥാർത്ഥ മരുന്ന് പോലെ തോന്നിക്കുന്ന, എന്നാൽ സജീവമായ ചേരുവകളില്ലാത്ത ഒരു മരുന്ന്) എന്നിവയെ കുറിച്ചുള്ള പഠനങ്ങൾ ഞങ്ങൾ അന്വേഷിച്ചു ."
"We will publish the results of the study so that other interested people such as doctors and scientists may learn from our research, but the participants will not be identified by name in any publication or presentation of results. However, the medical notes may be reviewed by people associated with the study, without any additional permission.","പഠനത്തിന്റെ ഫലങ്ങൾ ഞങ്ങൾ പ്രസിദ്ധീകരിക്കും, അതിനാൽ മറ്റ് ഗവേഷകരായ ഡോക്ടർമാര്‍ക്കും ശാസ്ത്രജ്ഞന്മാര്‍ക്കും ഞങ്ങളുടെ ഗവേഷണത്തിൽ നിന്ന് പഠിക്കാൻ കഴിയും, എന്നാൽ പങ്കെടുക്കുന്നവരെ ഏതെങ്കിലും പ്രസിദ്ധീകരണത്തിലോ ഫലങ്ങളുടെ അവതരണത്തിലോ പേര് ഉപയോഗിച്ച് തിരിച്ചറിയാൻ കഴിയില്ല. എന്നിരുന്നാലും, അധിക അനുമതിയില്ലാതെ, പഠനവുമായി ബന്ധപ്പെട്ട ആളുകൾ മെഡിക്കൽ കുറിപ്പുകൾ അവലോകനം ചെയ്തേക്കാം."
I understand that I will receive free treatment for any study related injury but I will not receive any other financial compensation.,"പഠനവുമായി ബന്ധപ്പെട്ട് സംഭവിക്കുന്ന ഏത് പരിക്കിനും എനിക്ക് സൌജന്യ ചികിത്സ ലഭിക്കുമെന്നും, പക്ഷെ അതുമായി ബന്ധപ്പെട്ട് ഒരു തരത്തിലുള്ള സാമ്പത്തിക നഷ്ടപരിഹാരവും ലഭിക്കുകയില്ലെന്നും ഞാൻ മനസ്സിലാക്കുന്നു."
"The results of this study may be published in a medical journal but you will not be identified by name in any publication or presentation of results. However, your medical notes may be reviewed by people associated with the study, without your additional permission, should you decide to participate in this study.","ഈ പഠനത്തിന്റെ റിസൾട്ടുകൾ ഒരു മെഡിക്കൽ ജേണലിൽ പ്രസിദ്ധീകരിക്കാം, പക്ഷേ റിസൾട്ടുകളുടെ ഏതെങ്കിലും പ്രസിദ്ധീകരണത്തിലോ അവതരണത്തിലോ നിങ്ങളെ പേര് കൊണ്ട് തിരിച്ചറിയാൻ കഴിയില്ല. എന്നിരുന്നാലും, ഈ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങൾ തീരുമാനിക്കുകയാണെങ്കിൽ, നിങ്ങളുടെ അധിക അനുമതിയില്ലാതെ, പഠനവുമായി ബന്ധപ്പെട്ട ആളുകൾ നിങ്ങളുടെ മെഡിക്കൽ നോട്ടുകൾ അവലോകനം ചെയ്തേക്കാം."
Yes. Your personal details will be kept confidential. The results of the study will be published in a medical journal but you will not be identified by name in any publication or presentation of results.,"അതെ. നിങ്ങളുടെ സ്വകാര്യ വിശദാംശങ്ങൾ രഹസ്യമായി സൂക്ഷിക്കും. പഠന ഫലങ്ങൾ ഒരു മെഡിക്കൽ ജേണലിൽ പ്രസിദ്ധീകരിക്കും, പക്ഷേ ഏതെങ്കിലും പ്രസിദ്ധീകരണത്തിലോ ഫലങ്ങളുടെ അവതരണത്തിലോ നിങ്ങളുടെ വിശദാംശങ്ങള്‍ വെളിപ്പെടുത്തുകയില്ല."
"Coronavirus disease (COVID-19) is an infectious disease caused by a newly discovered coronavirus SARS CoV2. You may be aware, that this virus has spread to many countries and has caused a global health crisis. The clinical manifestations in children have been reported to be mild but is evolving. We still do not know the full impact of this infection in children. Therefore, it is very important that we collect as much information as possible from children seen in our hospital in a systematic manner.","കൊറോണ വൈറസ് രോഗം (കോവിഡ്-19) പുതുതായി കണ്ടെത്തിയ കൊറോണ വൈറസ് സാര്‍സ് കോവ്2 മൂലമുണ്ടാകുന്ന ഒരു പകർച്ചവ്യാധിയാണ്. ഈ വൈറസ് പല രാജ്യങ്ങളിലേക്കും വ്യാപിക്കുകയും ആഗോള ആരോഗ്യ പ്രതിസന്ധിക്ക് കാരണമാവുകയും ചെയ്തിട്ടുണ്ടെന്ന് നിങ്ങൾക്കറിയാം. കുട്ടികളില്‍ രോഗലക്ഷണം നേരിയ തോതിലാണ് പ്രകടിപ്പിക്കുന്നത് എന്ന് ക്ലിനിക്കലായി റിപ്പോർട്ടുചെയ്‌തിട്ടുണ്ടെങ്കിലും അത് ഗുരുതരമായികൊണ്ടിരിക്കുന്നു. കുട്ടികളിൽ ഈ അണുബാധ ഉളവാക്കുന്ന ആഘാതം എത്രയെന്ന് ഞങ്ങള്‍ക്കിപ്പോഴും അറിയില്ല. അതിനാൽ, ഞങ്ങളുടെ ആശുപത്രിയിൽ പ്രവേശിപ്പിക്കപ്പെടുന്ന കുട്ടികളിൽ നിന്ന് കഴിയുന്നത്ര വിവരങ്ങൾ ചിട്ടയായ രീതിയിൽ ശേഖരിക്കേണ്ടത് വളരെ പ്രധാനമാണ്."
