english,malayalam
Who can donate Blood?,ആർക്കെല്ലാം രക്തദാനം ചെയ്യാൻ പറ്റും?
Signature (or Thumb impression) of the Subject/Legally Acceptable,പഠനവിധേയമാകുന്ന ആളുടെ ഒപ്പ് (കൈവിരലടയാളം) / നിയമപരമായി സ്വീകാര്യമായത്
Date: .....,തീയതി: .....
- Red blood cells,- ചുവന്ന രക്തകോശങ്ങൾ
Please take your time to review this information sheet and discuss any questions you may have with the study staff. This sheet may contain words that you do not understand. Please ask the study staff to explain any words or information that you do not clearly understand.,ഈ വിവര ഷീറ്റ് അവലോകനം ചെയ്യുന്നതിനും പഠന ഉദ്യോഗസ്ഥരുമായി നിങ്ങൾക്ക് ഉണ്ടായേക്കാവുന്ന ചോദ്യങ്ങൾ ചർച്ച ചെയ്യുന്നതിനും നിങ്ങള്‍ക്ക് ആവശ്യത്തിന് സമയം എടുക്കാവുന്നതാണ്. ഈ ഷീറ്റിൽ നിങ്ങൾക്ക് മനസ്സിലാകാത്ത വാക്കുകൾ അടങ്ങിയിരിക്കാം. നിങ്ങൾക്ക് വ്യക്തമായി മനസ്സിലാകാത്ത ഏതെങ്കിലും വാക്കുകളോ വിവരങ്ങളോ വിശദീകരിക്കാൻ ദയവായി പഠന ഉദ്യോഗസ്ഥരോട് ആവശ്യപ്പെടുക.
PLEASE COMPLETE THE SCALE BASED ON A STRUCTURED INTERVIEW,സ്ട്രക്ചേർഡ് ആയ (കൃത്യമായ )ഒരു ഇന്റർവ്യൂ അടിസ്ഥാനമാക്കി സ്കെയിൽ പൂർത്തിയാക്കുക
"Both the interventions are well accepted standard of care worldwide. If any adverse events occur,there is no monetary compensation for that.",രണ്ട് രീതികളും ലോകമെമ്പാടും അംഗീകരിക്കപ്പെട്ടിട്ടുള്ളതും ഉയർന്ന നിലവാരമുള്ളതുമാണ്. എന്തെങ്കിലും അനിഷ്ട സംഭവങ്ങൾ ഉണ്ടായാൽ അതിന് പണമായി നഷ്ടപരിഹാരം നൽകേണ്ടതില്ല.
Coding of samples or data,സാമ്പിളുകൾ അല്ലെങ്കിൽ ഡാറ്റകൾക്ക് കോഡ് നമ്പറുകൾ നൽകൽ .
"• You have the right to confidentiality regarding the privacy of your medical information (personal details, results of physical examinations, investigations, and your medical history). By signing this document, you will be allowing the research team investigators, if required to access your medical information.","• നിങ്ങളുടെ മെഡിക്കൽ വിവരങ്ങളുടെ (വ്യക്തിഗത വിശദാംശങ്ങൾ, ശാരീരിക പരിശോധനകളുടെ ഫലങ്ങൾ, അന്വേഷണങ്ങൾ, നിങ്ങളുടെ മെഡിക്കൽ ചരിത്രം) സ്വകാര്യത സംബന്ധിച്ച് രഹസ്യസ്വഭാവം പുലർത്താനുള്ള അവകാശം നിങ്ങൾക്കുണ്ട്. ഈ ഡോക്യുമെന്റിൽ ഒപ്പിടുന്നതിലൂടെ, നിങ്ങളുടെ മെഡിക്കൽ വിവരങ്ങൾ ആക്സസ് ചെയ്യാൻ ആവശ്യമെങ്കിൽ നിങ്ങൾ ഗവേഷണ ടീം അന്വേഷകരെ അനുവദിക്കും."
3. Ideas or gestures of suicide.,3. ആത്മഹത്യയെക്കുറിച്ചുള്ള ആശയങ്ങൾ അല്ലെങ്കിൽ ആംഗ്യങ്ങൾ.
