id,sentence,gold_label,form,constituent,gold_pos,case_role,meaning,tokens,bert_pos_tagged,mlmorph_breakdown,mlmorph_detected_attached_aanu,mlmorph_detected_detached_aanu
1,അവൻ എൻ്റെ കൂട്ടുകാരൻ ആണ്.,COPULA,DETACHED,കൂട്ടുകാരൻ,NOUN,NOMINATIVE_PREDICATE,He is my friend.,അവൻ എൻ്റെ കൂട്ടുകാരൻ ആണ് .,അവൻ/PR_PRP എൻ്റെ/N_NN കൂട്ടുകാരൻ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അവൻ: [അവൻ<prn>,അ<dem>അവൻ<prn>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | കൂട്ടുകാരൻ: [കൂട്ട്<n><masculine><n><deriv>] | ആണ്: [ആണ്<aff>]",False,True
2,അവൾ മിടുക്കിയായ ഒരു നർത്തകി ആണ്.,COPULA,DETACHED,നർത്തകി,NOUN,NOMINATIVE_PREDICATE,She is a talented dancer.,അവൾ മിടുക്കിയായ ഒരു നർത്തകി ആണ് .,അവൾ/PR_PRP മിടുക്കിയായ/JJ ഒരു/QT_QTO നർത്തകി/N_NN ആണ്/V_VAUX ./RD_PUNC,"അവൾ: [അവൾ<prn>,അ<dem>അവൾ<prn>] | മിടുക്കിയായ: [NO_ANALYSIS] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | നർത്തകി: [നർത്തകി<n>] | ആണ്: [ആണ്<aff>]",False,True
3,ഇത് വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരം ആണ്.,COPULA,DETACHED,മോതിരം,NOUN,NOMINATIVE_PREDICATE,This is a valuable gold ring.,ഇത് വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരം ആണ് .,ഇത്/DM_DMD വിലപിടിപ്പുള്ള/JJ ഒരു/QT_QTO സ്വർണ്ണ/JJ മോതിരം/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഇത്: [ഇത്<prn>,ഇ<dem>അത്<prn>] | വിലപിടിപ്പുള്ള: [വില<n><coordinative>പിടിപ്പ്<n>ഉള്ള<cnj>,വില<n><coordinative>പിടിപ്പ്<n>ഉള്ള<postp>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | സ്വർണ്ണ: [സ്വർണ്ണം<n><adj>] | മോതിരം: [മോതിരം<n>] | ആണ്: [ആണ്<aff>]",False,True
4,അവർ ഞങ്ങളുടെ പുതിയ അയൽക്കാർ ആണ്.,COPULA,DETACHED,അയൽക്കാർ,NOUN,NOMINATIVE_PREDICATE,They are our new neighbors.,അവർ ഞങ്ങളുടെ പുതിയ അയൽക്കാർ ആണ് .,അവർ/PR_PRP ഞങ്ങളുടെ/PR_PRP പുതിയ/JJ അയൽക്കാർ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അവർ: [അവർ<prn>,അ<dem>അവർ<prn>] | ഞങ്ങളുടെ: [ഞാൻ<prn><pl><genitive>] | പുതിയ: [പുതിയ<adj>] | അയൽക്കാർ: [അയൽ<n><neutral><n><deriv>,അ<dem>അയൽ<n><neutral><n><deriv>] | ആണ്: [ആണ്<aff>]",False,True
5,ഇന്ന് വളരെ ചൂടുള്ള ഒരു ദിവസം ആണ്.,COPULA,DETACHED,ദിവസം,NOUN,NOMINATIVE_PREDICATE,Today is a very hot day.,ഇന്ന് വളരെ ചൂടുള്ള ഒരു ദിവസം ആണ് .,ഇന്ന്/N_NST വളരെ/RP_INTF ചൂടുള്ള/JJ ഒരു/QT_QTO ദിവസം/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഇന്ന്: [ഇന്ന്<np>,ഇന്ന്<np><adj>] | വളരെ: [വളരെ<quantifier>] | ചൂടുള്ള: [ചൂട്<n>ഉള്ള<cnj>,ചൂട്<n>ഉള്ള<postp>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | ദിവസം: [ദിവസം<n>,ദിവസം<np>] | ആണ്: [ആണ്<aff>]",False,True
6,അത് എൻ്റെ വലിയ വീട് ആണ്.,COPULA,DETACHED,വീട്,NOUN,NOMINATIVE_PREDICATE,That is my big house.,അത് എൻ്റെ വലിയ വീട് ആണ് .,അത്/DM_DMD എൻ്റെ/N_NN വലിയ/JJ വീട്/N_NN ആണ്/V_VAUX ./RD_PUNC,"അത്: [അത്<prn>,അ<dem>അത്<prn>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | വീട്: [വീട്<n>] | ആണ്: [ആണ്<aff>]",False,True
7,അദ്ദേഹം ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകൻ ആണ്.,COPULA,DETACHED,അധ്യാപകൻ,NOUN,NOMINATIVE_PREDICATE,He is the head teacher of this school.,അദ്ദേഹം ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകൻ ആണ് .,അദ്ദേഹം/PR_PRP ഈ/DM_DMD സ്കൂളിലെ/N_NN പ്രധാന/JJ അധ്യാപകൻ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അദ്ദേഹം: [അദ്ദേഹം<prn>,അദ്ദേഹം<prn><adj>] | ഈ: [ഈ<dem>] | സ്കൂളിലെ: [സ്കൂൾ<n><locative>എ<indeclinable>,സ്കൂൾ<eng><locative>എ<indeclinable>] | പ്രധാന: [പ്രധാനം<sanskrit><adj>] | അധ്യാപകൻ: [അധ്യാപകൻ<n>,അ<dem>അധ്യാപകൻ<n>] | ആണ്: [ആണ്<aff>]",False,True
8,ഇത് വായനക്കാർക്ക് നല്ലൊരു പുസ്തകം ആണ്.,COPULA,DETACHED,പുസ്തകം,NOUN,NOMINATIVE_PREDICATE,This is a good book for readers.,ഇത് വായനക്കാർക്ക് നല്ലൊരു പുസ്തകം ആണ് .,ഇത്/DM_DMD വായനക്കാർക്ക്/N_NN നല്ലൊരു/JJ പുസ്തകം/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഇത്: [ഇത്<prn>,ഇ<dem>അത്<prn>] | വായനക്കാർക്ക്: [വായന<n><neutral><n><deriv><dative>,വായനം<n><neutral><n><deriv><dative>] | നല്ലൊരു: [നല്ലൊരു<quantifier>] | പുസ്തകം: [പുസ്തകം<n>] | ആണ്: [ആണ്<aff>]",False,True
9,ആ കുട്ടി വളരെ മിടുക്കൻ ആണ്.,COPULA,DETACHED,മിടുക്കൻ,NOUN,NOMINATIVE_PREDICATE,That child is very smart.,ആ കുട്ടി വളരെ മിടുക്കൻ ആണ് .,ആ/DM_DMD കുട്ടി/N_NN വളരെ/RP_INTF മിടുക്കൻ/N_NN ആണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | കുട്ടി: [കുട്ടി<n>,കുട്ടി<np>] | വളരെ: [വളരെ<quantifier>] | മിടുക്കൻ: [മിടുക്കൻ<n>] | ആണ്: [ആണ്<aff>]",False,True
10,ലക്ഷ്മി മികച്ചൊരു ഡോക്ടർ ആണ്.,COPULA,DETACHED,ഡോക്ടർ,NOUN,NOMINATIVE_PREDICATE,Lakshmi is an excellent doctor.,ലക്ഷ്മി മികച്ചൊരു ഡോക്ടർ ആണ് .,ലക്ഷ്മി/N_NNP മികച്ചൊരു/JJ ഡോക്ടർ/N_NN ആണ്/V_VAUX ./RD_PUNC,"ലക്ഷ്മി: [ലക്ഷ്മി<n>,ലക്ഷ്മി<np>] | മികച്ചൊരു: [NO_ANALYSIS] | ഡോക്ടർ: [ഡോക്ടർ<eng>] | ആണ്: [ആണ്<aff>]",False,True
