id,sentence,category,clause_type,surface_order,semantic_subject_S,semantic_object_comp_O,semantic_verb_copula_V,case_role,presupposition_clause,focus_constituent,meaning
1,അവൻ എൻ്റെ കൂട്ടുകാരൻ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),അവൻ,എൻ്റെ കൂട്ടുകാരൻ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,He is my friend.
2,അവൾ മിടുക്കിയായ ഒരു നർത്തകി ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),അവൾ,മിടുക്കിയായ ഒരു നർത്തകി,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,She is a talented dancer.
3,ഇത് വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരം ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇത്,വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരം,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This is a valuable gold ring.
4,അവർ ഞങ്ങളുടെ പുതിയ അയൽക്കാർ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),അവർ,ഞങ്ങളുടെ പുതിയ അയൽക്കാർ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,They are our new neighbors.
5,ഇന്ന് വളരെ ചൂടുള്ള ഒരു ദിവസം ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇന്ന്,വളരെ ചൂടുള്ള ഒരു ദിവസം,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Today is a very hot day.
6,അത് എൻ്റെ വലിയ വീട് ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),അത്,എൻ്റെ വലിയ വീട്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That is my big house.
7,അദ്ദേഹം ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകൻ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),അദ്ദേഹം,ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകൻ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,He is the head teacher of this school.
8,ഇത് വായനക്കാർക്ക് നല്ലൊരു പുസ്തകം ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇത്,വായനക്കാർക്ക് നല്ലൊരു പുസ്തകം,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This is a good book for readers.
9,ആ കുട്ടി വളരെ മിടുക്കൻ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ആ,കുട്ടി വളരെ മിടുക്കൻ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That child is very smart.
10,ലക്ഷ്മി മികച്ചൊരു ഡോക്ടർ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ലക്ഷ്മി,മികച്ചൊരു ഡോക്ടർ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Lakshmi is an excellent doctor.
11,ഈ മൃഗം വളരെ ഉപദ്രവകാരി ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഈ,മൃഗം വളരെ ഉപദ്രവകാരി,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This animal is very harmful.
12,അവർ മികച്ച കായിക താരങ്ങൾ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),അവർ,മികച്ച കായിക താരങ്ങൾ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,They are excellent sports stars.
13,അത് പുതിയൊരു കാർ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),അത്,പുതിയൊരു കാർ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That is a new car.
14,ഇത് എൻ്റെ അമ്മയുടെ പഴയ പേന ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇത്,എൻ്റെ അമ്മയുടെ പഴയ പേന,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This is my mother's old pen.
15,ഹരിഗോവിന്ദ് ഒരു പ്രശസ്ത ചിത്രകാരൻ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഹരിഗോവിന്ദ്,ഒരു പ്രശസ്ത ചിത്രകാരൻ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Harigovind is a famous painter.
16,ആ വലിയ മരം ഒരു പ്ലാവ് ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ആ,വലിയ മരം ഒരു പ്ലാവ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That big tree is a jackfruit tree.
17,കേരളം മനോഹരമായ ഒരു നാട് ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),കേരളം,മനോഹരമായ ഒരു നാട്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Kerala is a beautiful land.
18,ഗംഗ വലിയൊരു നദി ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഗംഗ,വലിയൊരു നദി,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Ganga is a big river.
19,അമ്മ ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരം ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),അമ്മ,ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരം,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,The snack made by mother is very delicious.
20,ഈ പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകം ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഈ,പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകം,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This ancient fort is a historical monument.
21,ആൻഡ്രൂസ് എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകൻ ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ആൻഡ്രൂസ്,എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകൻ,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Andrews is an old colleague of mine.
22,ഈ വിഷയം വളരെ സങ്കീർണ്ണം ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഈ,വിഷയം വളരെ സങ്കീർണ്ണം,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This topic is very complex.
23,ഇത് എൻ്റെ സ്വന്തം പരീക്ഷണം ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇത്,എൻ്റെ സ്വന്തം പരീക്ഷണം,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This is my own experiment.
24,ആ ചെറിയ വീട് ഒരു വായനശാല ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),ആ,ചെറിയ വീട് ഒരു വായനശാല,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That small house is a library.
25,പഠനം മനോഹരമായ ഒരു അനുഭവം ആണ്.,COPULA (DETACHED),Equative / Attributive Copula,S - PRED - V (Copula),പഠനം,മനോഹരമായ ഒരു അനുഭവം,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Learning is a beautiful experience.
26,അവൻ എൻ്റെ കൂട്ടുകാരനാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),അവൻ,എൻ്റെ കൂട്ടുകാരനാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,He is my friend.
27,അവൾ മിടുക്കിയായ ഒരു നർത്തകിയാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),അവൾ,മിടുക്കിയായ ഒരു നർത്തകിയാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,She is a talented dancer.
28,ഇത് വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരമാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇത്,വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരമാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This is a valuable gold ring.
29,അവർ ഞങ്ങളുടെ പുതിയ അയൽക്കാരാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),അവർ,ഞങ്ങളുടെ പുതിയ അയൽക്കാരാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,They are our new neighbors.
