id,sentence,gold_label,form,constituent,pos,case_role,meaning
1,അവൻ എൻ്റെ കൂട്ടുകാരൻ ആണ്.,COPULA,DETACHED,കൂട്ടുകാരൻ,NOUN,NOMINATIVE_PREDICATE,He is my friend.
2,അവൾ മിടുക്കിയായ ഒരു നർത്തകി ആണ്.,COPULA,DETACHED,നർത്തകി,NOUN,NOMINATIVE_PREDICATE,She is a talented dancer.
3,ഇത് വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരം ആണ്.,COPULA,DETACHED,മോതിരം,NOUN,NOMINATIVE_PREDICATE,This is a valuable gold ring.
4,അവർ ഞങ്ങളുടെ പുതിയ അയൽക്കാർ ആണ്.,COPULA,DETACHED,അയൽക്കാർ,NOUN,NOMINATIVE_PREDICATE,They are our new neighbors.
5,ഇന്ന് വളരെ ചൂടുള്ള ഒരു ദിവസം ആണ്.,COPULA,DETACHED,ദിവസം,NOUN,NOMINATIVE_PREDICATE,Today is a very hot day.
6,അത് എൻ്റെ വലിയ വീട് ആണ്.,COPULA,DETACHED,വീട്,NOUN,NOMINATIVE_PREDICATE,That is my big house.
7,അദ്ദേഹം ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകൻ ആണ്.,COPULA,DETACHED,അധ്യാപകൻ,NOUN,NOMINATIVE_PREDICATE,He is the head teacher of this school.
8,ഇത് വായനക്കാർക്ക് നല്ലൊരു പുസ്തകം ആണ്.,COPULA,DETACHED,പുസ്തകം,NOUN,NOMINATIVE_PREDICATE,This is a good book for readers.
9,ആ കുട്ടി വളരെ മിടുക്കൻ ആണ്.,COPULA,DETACHED,മിടുക്കൻ,NOUN,NOMINATIVE_PREDICATE,That child is very smart.
10,ലക്ഷ്മി മികച്ചൊരു ഡോക്ടർ ആണ്.,COPULA,DETACHED,ഡോക്ടർ,NOUN,NOMINATIVE_PREDICATE,Lakshmi is an excellent doctor.
11,ഈ മൃഗം വളരെ ഉപദ്രവകാരി ആണ്.,COPULA,DETACHED,ഉപദ്രവകാരി,NOUN,NOMINATIVE_PREDICATE,This animal is very harmful.
12,അവർ മികച്ച കായിക താരങ്ങൾ ആണ്.,COPULA,DETACHED,താരങ്ങൾ,NOUN,NOMINATIVE_PREDICATE,They are excellent sports stars.
13,അത് പുതിയൊരു കാർ ആണ്.,COPULA,DETACHED,കാർ,NOUN,NOMINATIVE_PREDICATE,That is a new car.
14,ഇത് എൻ്റെ അമ്മയുടെ പഴയ പേന ആണ്.,COPULA,DETACHED,പേന,NOUN,NOMINATIVE_PREDICATE,This is my mother's old pen.
15,ഹരിഗോവിന്ദ് ഒരു പ്രശസ്ത ചിത്രകാരൻ ആണ്.,COPULA,DETACHED,ചിത്രകാരൻ,NOUN,NOMINATIVE_PREDICATE,Harigovind is a famous painter.
16,ആ വലിയ മരം ഒരു പ്ലാവ് ആണ്.,COPULA,DETACHED,പ്ലാവ്,NOUN,NOMINATIVE_PREDICATE,That big tree is a jackfruit tree.
17,കേരളം മനോഹരമായ ഒരു നാട് ആണ്.,COPULA,DETACHED,നാട്,NOUN,NOMINATIVE_PREDICATE,Kerala is a beautiful land.
18,ഗംഗ വലിയൊരു നദി ആണ്.,COPULA,DETACHED,നദി,NOUN,NOMINATIVE_PREDICATE,Ganga is a big river.
19,അമ്മ ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരം ആണ്.,COPULA,DETACHED,രുചികരം,ADJ_PRONOMINAL,NOMINATIVE_PREDICATE,The snack made by mother is very delicious.
20,ഈ പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകം ആണ്.,COPULA,DETACHED,സ്മാരകം,NOUN,NOMINATIVE_PREDICATE,This ancient fort is a historical monument.
